"","tagid","survey_name","CAMM_1","CAMM_10","CAMM_2","CAMM_3","CAMM_4","CAMM_5","CAMM_6","CAMM_7","CAMM_8","CAMM_9","survey_type","survey_date","CAMM_N","CAMM_missing","CAMM_missing_perc","CAMM_mean","CAMM_total"
"1","TAG001","W2 Home Qs - Current V1",4,3,4,3,3,3,3,4,2,3,"Home","2017-08-24",10,0,0,3.2,32
"2","TAG002","W2 Home Qs - Current V1",2,3,3,4,4,3,3,4,3,3,"Home","2017-09-06",10,0,0,3.2,32
"3","TAG003","W2 Home Qs - Current V1",3,3,3,2,3,2,3,3,2,3,"Home","2018-03-10",10,0,0,2.7,27
"4","TAG004","W2 - Home Qs - Current V1 IN LAB",2,4,4,1,2,3,2,3,2,3,"Home","2017-08-07",10,0,0,2.6,26
"5","TAG005","W2 Home Qs - Current V1",4,4,4,4,4,4,4,4,3,4,"Home","2018-05-22",10,0,0,3.9,39
"6","TAG007","W2 Home Qs - Current V1",3,2,2,3,3,3,2,2,3,3,"Home","2018-02-13",10,0,0,2.6,26
"7","TAG009","W2 Home Qs - Current V1",1,3,4,3,2,2,0,1,0,2,"Home","2018-05-20",10,0,0,1.8,18
"8","TAG010","W2 Home Qs - Current V1",3,3,3,3,3,3,3,3,2,3,"Home","2018-02-21",10,0,0,2.9,29
"9","TAG014","W2 Home Qs - Current V1",3,3,3,2,2,2,2,2,3,3,"Home","2018-08-10",10,0,0,2.5,25
"10","TAG015","W2 Home Qs - Current V1",3,3,2,3,3,3,2,3,2,3,"Home","2018-04-21",10,0,0,2.7,27
"11","TAG016","W2 Home Qs - Current V1",3,2,2,4,3,1,4,2,4,3,"Home","2017-10-13",10,0,0,2.8,28
"12","TAG019","W2 Home Qs - Current V1",2,2,1,2,3,2,3,3,1,3,"Home","2017-10-08",10,0,0,2.2,22
"13","TAG020","W2 Home Qs - Current V1",3,2,2,2,2,2,3,3,2,3,"Home","2017-09-15",10,0,0,2.4,24
"14","TAG022","W2 Home Qs - Current V1",3,3,3,4,3,2,3,3,2,4,"Home","2017-08-30",10,0,0,3,30
"15","TAG026","W2 Home Qs - Current V1",3,3,3,3,2,2,4,2,1,2,"Home","2017-08-09",10,0,0,2.5,25
"16","TAG027","W2 Home Qs - Current V1",2,3,2,3,2,3,1,2,2,3,"Home","2018-01-17",10,0,0,2.3,23
"17","TAG028","W2 Home Qs - Current V1",1,2,4,2,2,2,1,2,2,2,"Home","2018-02-16",10,0,0,2,20
"18","TAG030","W2 Home Qs - Current V1",4,3,3,3,3,2,2,4,3,3,"Home","2017-08-22",10,0,0,3,30
"19","TAG032","W2 Home Qs - Current V1",1,1,1,1,1,1,1,1,1,1,"Home","2018-02-08",10,0,0,1,10
"20","TAG033","W2 Home Qs - Current V1",1,2,2,1,1,2,2,1,1,1,"Home","2017-09-15",10,0,0,1.4,14
"21","TAG034","W2 Home Qs - Current V1",1,2,3,1,1,3,1,1,1,2,"Home","2017-10-07",10,0,0,1.6,16
